Feature,Importance
ANGPT1,1.3900923956569428e-18
LINC00639.2,1.3589370839072196e-18
OLIG2,1.3159603394777564e-18
LINC01411.1,1.3006987401327985e-18
ZBTB20.AS1.2,1.2921552310781199e-18
GRIN3A,1.2538956587464686e-18
ZBTB20.AS1,1.211699764246082e-18
HEPACAM,1.208143880532605e-18
GPR37L1,1.1930694402585372e-18
SLC17A6,1.1921549540848303e-18
FAM19A4.1,1.1586173615960119e-18
INPP5D.1,1.1584921571561156e-18
CSPG4,1.1187373274502893e-18
BCAS1.3,1.0894073377891896e-18
C1QC,1.0798445343151584e-18
GFRA1,1.078208418243504e-18
ANKRD33B,1.0447308511185991e-18
ADGRG1.1,1.0228353114926318e-18
LINC00856,1.0147289244085354e-18
GSN,1.0134476545384245e-18
VWC2,1.00724565812316e-18
HIF3A,9.913510368155027e-19
TAC3,9.230822850011424e-19
DCN,8.897843688885278e-19
KIAA1644,8.736816658122314e-19
LINC00499.1,6.434194043413373e-19
IGFBP5,5.529117565416555e-19
BCAS1.4,4.3901396218888015e-19
INPP5D,4.1452733476288873e-19
PTPRS.1,4.04193009738712e-19
ZBTB18,3.601773309684416e-19
C10ORF90,2.8361617804524453e-19
BCAS1.1,2.2044230066501893e-19
RIN2,2.1099818308845624e-19
IKZF1,1.8998018985418437e-19
MCTP2.2,1.5270136020692516e-19
MS4A7,1.5258838507887734e-19
SYK,1.1678434482036165e-19
ARHGAP29,1.1333108928966584e-19
PRODH,1.0594212945742033e-19
SMOC1,1.0404990284504719e-19
DOCK8,9.726798666306502e-20
FERMT1,9.574707467879525e-20
TSPAN12,8.687062366041198e-20
MC4R,8.245596760533825e-20
ADAM33,8.228511309296985e-20
STK32A,7.72279447887869e-20
ABCA8,6.90679998474401e-20
C10ORF90.1,6.05402873889939e-20
SCML4.1,2.953944641348123e-20
GRAMD3,2.9259447411807486e-20
TMEM196,0.0
SEMA3A,0.0
PTPRC,0.0
ADAM28,0.0
BCHE.2,0.0
EMX2OS,0.0
KLRC3,0.0
PAMR1,0.0
FLI1,0.0
LINC00498,0.0
PTHLH,0.0
PAPLN,0.0
RANBP3L,0.0
ETNPPL,0.0
TMEM144,0.0
MEGF10,0.0
SSTR2,0.0
FAM196A,0.0
CHD7.3,0.0
LINC01500,0.0
SFTA1P,0.0
SCML4,0.0
NRIP3.1,0.0
LGI2,0.0
ZCCHC24,0.0
CHD7,0.0
BCHE.1,0.0
KIAA1211,0.0
ADAM33.3,0.0
ADAMTS9.AS2,0.0
CX3CR1,0.0
ITGAX,0.0
PTPRC.1,0.0
CD53,0.0
MS4A6E,0.0
SLC17A7,0.0
TESPA1,0.0
SNCG.3,0.0
GAP43,0.0
CA8.1,0.0
SCML4.2,0.0
LGI2.2,0.0
TSPAN12.1,0.0
CA2.1,0.0
SLC5A8,0.0
FGFR2,0.0
WIF1.3,0.0
SMAD3,0.0
LINC00508,0.0
TANC1,0.0
PNOC,0.0
CA3,0.0
TSPAN12.2,0.0
CXCL12.1,0.0
KMO,0.0
BAGE2.1,0.0
PPAPDC1A,0.0
S100B.1,0.0
CHRNA2.1,0.0
TYROBP,0.0
LINC00996,0.0
TGFBR2,0.0
ADRA1B.1,0.0
NPFFR1,0.0
TBL1X.1,0.0
BCL11B.2,0.0
MMRN2,0.0
CD22,0.0
CERCAM,0.0
LRP4.AS1,0.0
LGI2.1,0.0
PTGDS.2,0.0
HEPN1.1,0.0
VWC2L.IT1,0.0
MYRF,0.0
ASIC4,0.0
GRPR,0.0
FAM46A.1,0.0
CXCL12,0.0
BCAS1,0.0
SLC25A18,0.0
SLCO1C1,0.0
SLC7A11,0.0
ATP1A2,0.0
TMCC3,0.0
COL20A1,0.0
LINC00499,0.0
LRP4.AS1.1,0.0
GPNMB,0.0
TMC6,0.0
LAMA1,0.0
ATP1A3,0.0
CSF2RA,0.0
